Site_gestion_date;si ajout;Ordre total;Ordre par jour;Tri si modif;Quadrat;Numéro;nombre_quadrats;Site;Gestion_2;Gestion_3;Gestion_4;Mixte_isole;Y;X;Green100;Building100;Impervious100;Natural100;Area;id;Quartier;Jours;Gestion_moment_4;Gestion_moment_5;Activite;Periode;Date;Heure_debut;Heure_fin;Temperature;Meteo;Achillea_millefolium;Bellis_perennis;Betonica_officinalis;Campanula_rapunculus;Centaurea_jacea;Centaurium_erythraea;Cerastium_fontanum;Cichorium_intybus;Cirsium_arvense;Cirsium_vulgare;Crepis_capillaris;Daucus_carota;Galium_mollugo;Geranium_dissectum;Geranium_molle;Geranium_pratense;Helianthus_annuus;Heracleum_sphondylium;Hypericum_perforatum;Hypochaeris_radicata;Jacobaea_vulgaris;Knautia_arvensis;Lapsana_communis;Lathyrus_latifolius;Leucanthemum_vulgare;Lotus_corniculatus;Malva_alcea_._Malva_moschata;Matricaria_chamomilla_Tripleurospermum_maritimum;Medicago_lupulina;Medicago_sativa;Origanum_vulgare;Picris_hieracioides;Plantago_lanceolata;Prunella_vulgaris;Ranunculus_acris;Ranunculus_repens;Rhinanthus_angustifolius;Rhinanthus_minor;Silene_latifolia;Tanacetum_vulgare;Torilis_japonica;Trifolium_campestre;Trifolium_dubium;Trifolium_pratense;Trifolium_repens;Veronica_arvensis;Veronica_persica;Veronica_serpyllifolia;Vicia_sativa;Vicia_tetrasperma_subsp._tetrasperma;Aglais_io;Andrena_dorsata;Andrena_flavipes;Andrena_fulvago;Andrena_humilis;Andrena_minutula.gr.;Andrena_proxima;Andrena_rosae;Andrena_spec.;Anthophila_indet.;Apis_mellifera;Aricia_agestis;Bombus_lapidarius;Bombus_lucorum;Bombus_pascuorum;Bombus_pratorum;Bombus_spec.;Bombus_terrestris.lucorum.magnus.cryptarum;Bombus_vestalis;Bombus_vestalis.bohemicus;Carcharodus_alceae;Ceratina_cyanea;Cerceris_arenaria;Cerceris_rybyensis;Cerceris_spec.;Cheilosia_pagana;Cheilosia_spec.;Cheilosia_variabilis;Chelostoma_rapunculi;Colletes.daviesanus.fodiens.similis;Dasypoda_hirtipes;Dasysyrphus_albostriatus;Episyrphus_balteatus;Eristalis_arbustorum;Eristalis_arbustorum.abusiva;Eristalis_intricaria;Eristalis_nemorum;Eristalis_pertinax;Eristalis_spec.;Eristalis_tenax;Euclidia_glyphica;Eupeodes_corollae;Eupeodes_latifasciatus;Eupeodes_luniger;Halictidae_indet.;Halictus_scabiosae;Helophilus_pendulus;Helophilus_trivittatus;Heriades_truncorum;Hylaeus_communis;Hylaeus_gredleri;Hylaeus_spec.;Lasioglossum_.Dialictus._spec.;Lasioglossum_.Leuchalictus._spec.;Lasioglossum_.Sphecodogastra._spec.;Lasioglossum_leucozonium;Lasioglossum_sexnotatum;Lasioglossum_spec.;Lycaena_phlaeas;Macroglossum_stellatarum;Maniola_jurtina;Megachile_centuncularis;Megachile_spec.;Megachile_willughbiella;Melanostoma_mellinum;Melanostoma_mellinum_Platycheirus_albimanus;Melanostoma_spec.;Mesembrina_meridiana;Myathropa_florea;Neoascia_spec.;Nowickia_ferox;Osmia_leaiana.niveata;Osmia_spinulosa;Panurgus_calcaratus;Paragus_haemorrhous;Pieris_brassicae;Pieris_napi;Pieris_rapae;Pieris_spec.;Pipizella_spec.;Pipizella_viduata;Platycheirus_albimanus;Polygonia_c.album;Polyommatus_icarus;Pyronia_tithonus;Rhopalocera_indet.;Scaeva_pyrastri;Scaeva_selenitica;Scaeva_spec.;Sphaerophoria_scripta;Sphaerophoria_spec.;Sphecodes_spec.;Stelis_punctulatissima;Stomorhina_lunata;Syritta_pipiens;Syrphidae_indet.;Syrphus_ribesii;Syrphus_spec.;Volucella_zonaria
CEI_Tonte_finJuillet;169;133;1;96;27;23;1;CEI;Tonte;Tonte;Tonte;mixte;50,667;4,624626;13648,43399;1902,03301;16088,12721;4078,418525;1755,463623;2;Parc sc;A;Tonte_tardive;Tonte_tardive;Nulle;3_finJuillet;22-07-22;10:10:00;10:40:00;18;nuageux;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
CEI_Fauche_finJuillet;170;134;2,2;97;28;23;3;CEI;Fauche;Fauche;Graminees;mixte;50,667217;4,624937;11318,2389;2191,585583;12727,27373;4971,070285;2003,062866;1;Parc sc;A;Fauche;Graminees;Nulle;3_finJuillet;22-07-22;10:20:00;10:50:00;18;nuageux;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
Cyclotron_Fauche_finJuillet;174;137;3;99;30;24;1;Cyclotron;Fauche;Seme;Seme;mixte;50,608823;4,624223;12272,84077;12639,60363;26102,88847;2749,948523;995,0355225;1;Parc sc;A;Seme;Seme;Nulle;3_finJuillet;22-07-22;11:00:00;11:30:00;18;nuageux;0;1;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;2;0;0;0;0;2;2;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Hemptinne_Tonte_finJuillet;175;138;4;100;31;25;1;Hemptinne;Tonte;Tonte;Tonte;mixte;50,665464;4,623662;15059,11066;19676,03658;7770,355406;2482,702605;784,7885742;2;Parc sc;A;Tonte_tardive;Tonte_tardive;Moyenne;3_finJuillet;22-07-22;11:40:00;12:10:00;18;nuageux;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hemptinne_Fauche_finJuillet;176;139;5,1;101;32;25;3;Hemptinne;Fauche;Fauche;Fleuri;mixte;50,66497;4,624537;7535,815302;14984,97618;6836,944109;2622,56091;1670,095215;1;Parc sc;A;Fauche;Fleuri;Nulle;3_finJuillet;22-07-22;12:30:00;13:05:00;20;alternances;0;0;0;0;0;0;0;0;2;2;1;2;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;2;0;0;0;0;1;0;1;0;0;1;0;0;0;0
Cyclotron_Tonte_finJuillet;173;142;6;98;29;24;1;Cyclotron;Tonte;Tonte;Tonte;mixte;50,664449;4,622821;13036,65844;6143,874486;26573,14773;0,239726497;1027,552124;2;Parc sc;A;Tonte_recente;Tonte_recente;Moyenne;3_finJuillet;22-07-22;13:15:00;13:45:00;21;alternances;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vinci_Tonte_finJuillet;167;143;7;95;25;21;1;Vinci;Tonte;Tonte;Tonte;isole_tonte;50,667786;4,622726;11891,29588;11310,0493;27194,35491;0;2603,564941;2;Biereau;A;Tonte_tardive;Tonte_tardive;Nulle;3_finJuillet;22-07-22;14:00:00;14:30:00;21;alternances;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Blocry_Tonte_finJuillet;140;148;10;107;6;6;1;Blocry;Tonte;Tonte;Tonte;isole_tonte;50,67029085;4,604130801;9100,485372;11406,62545;26943,76588;0;421,5638733;2;Hocaille;A;Tonte_recente;Tonte_recente;Forte;3_finJuillet;22-07-22;15:10:00;15:40:00;22;alternances;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BlancsChevaux_Tonte_finJuillet;139;149;11;106;5;5;1;BlancsChevaux;Tonte;Tonte;Tonte;isole_tonte;50,670718;4,608892;5176,054555;13228,73054;7255,247475;1446,239863;716,491394;2;Hocaille;A;Tonte_tardive;Tonte_tardive;Forte;3_finJuillet;22-07-22;15:45:00;16:15:00;22;alternances;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Herge_Tonte_finJuillet;138;150;12;105;4;4;1;Herge;Tonte;Tonte;Tonte;isole_tonte;50,671529;4,61263;12572,56178;9118,606335;4948,070229;5076,537488;584,1918945;2;Lauzelle;A;Tonte_tardive;Tonte_tardive;Moyenne;3_finJuillet;22-07-22;16:20:00;16:50:00;22;alternances;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Source_Tonte_finJuillet;133;151;13;102;1;1;1;Source;Tonte;Tonte;Tonte;isole_tonte;50,672551;4,614151;15710,09907;8613,388082;0;0;1503,743408;2;Lauzelle;A;Tonte_tardive;Tonte_tardive;Moyenne;3_finJuillet;22-07-22;16:55:00;17:25:00;22;alternances;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CAV_Fauche_finJuillet;141;152;14,1;108;7;7;2;CAV;Fauche;Seme;Seme;isole_fauche;50,670645;4,610333;4234,293653;21200,47001;7649,775776;1955,29834;1245,016968;1;Hocaille;B;Seme;Seme;Moyenne;3_finJuillet;23-07-22;10:20:00;10:55:00;19;soleil;2;0;1;0;2;0;0;0;0;0;1;2;0;0;0;0;0;0;0;1;1;3;0;0;0;1;0;0;0;1;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3;0;6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
Gare_bus_Tonte_finJuillet;191;154;15;111;39;30;1;Gare_bus;Tonte;Tonte;Tonte;isole_tonte;50,667854;4,612792;12594,60338;10041,5745;36740,09699;0;1154,62207;2;Centre;B;Tonte_recente;Tonte_recente;Forte;3_finJuillet;23-07-22;11:00:00;11:30:00;20;soleil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bois_Palette_Tonte_finJuillet;194;155;16;114;42;32;1;Bois_Palette;Tonte;Tonte;Tonte;isole_tonte;50,66557481;4,608865049;5587,518075;6541,312868;1165,252286;19796,62105;1156,689453;2;Bruyeres;B;Tonte_recente;Tonte_recente;Moyenne;3_finJuillet;23-07-22;11:30:00;12:00:00;21;soleil;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aula_Tonte_finJuillet;196;156;17;116;44;34;1;Aula;Tonte;Tonte;Tonte;mixte;50,666357;4,60637;16345,26261;4600,931336;949,6576875;0;11990,00488;2;Bruyeres;B;Tonte_tardive;Tonte_tardive;Forte;3_finJuillet;23-07-22;11:50:00;12:20:00;22;soleil;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lac_Tonte_finJuillet;197;157;18;117;45;35;1;Lac;Tonte;Tonte;Tonte;mixte;50,664089;4,604985;18176,29224;6073,989396;1551,427122;2512,784866;1600,212158;2;Bruyeres;B;Tonte_tardive;Tonte_tardive;Moyenne;3_finJuillet;23-07-22;12:35:00;13:05:00;22;soleil;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lac_Fauche_finJuillet;198;158;19;118;46;35;1;Lac;Fauche;Fauche;Graminees;mixte;50,663983;4,60489;19250,7236;6116,725236;1551,427122;2512,784866;435,762146;1;Bruyeres;B;Fauche;Graminees;Nulle;3_finJuillet;23-07-22;13:25:00;13:55:00;23;soleil;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
Rondes_Bosses_Tonte_finJuillet;195;161;22;115;43;33;1;Rondes_Bosses;Tonte;Tonte;Tonte;isole_tonte;50,66474;4,607762;6176,622635;11531,83689;0;0;2700,358887;2;Bruyeres;B;Tonte_tardive;Tonte_tardive;Moyenne;3_finJuillet;23-07-22;13:50:00;14:20:00;23;soleil;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
